ukb_code	term_label	term_codes	mapping_type	ukb_fullcode	current_term_label	category
I83	varicose veins	HP:0002619	Broad	I83-Diagnoses_main_ICD10_I83_Varicose_veins_of_lower_extremities	varicose veins	
I86	Varicose veins	HP:0002619	Broad	I86-Diagnoses_main_ICD10_I86_Varicose_veins_of_other_sites	varicose veins	
K46	hernia of the abdominal wall	HP:0004299	Broad	K46-Diagnoses_main_ICD10_K46_Unspecified_abdominal_hernia	hernia of the abdominal wall	
Q82	Malformation syndrome with skin/mucosae involvement	Orphanet:139027	Broad	Q82-Diagnoses_main_ICD10_Q82_Other_congenital_malformations_of_skin	malformation syndrome with skin/mucosae involvement	disease
O16	preeclampsia	EFO:0000668	Exact	O16-Diagnoses_main_ICD10_O16_Unspecified_maternal_hypertension	preeclampsia	disease
I64	stroke	EFO:0000712	Exact	I64-Diagnoses_main_ICD10_I64_Stroke_not_specified_as_haemorrhage_or_infarction	stroke	disease
I60	subarachnoid hemorrhage	EFO:0000713	Exact	I60-Diagnoses_main_ICD10_I60_Subarachnoid_haemorrhage	subarachnoid hemorrhage	disease
K76	liver disease	EFO:0001421	Exact	K76-Diagnoses_main_ICD10_K76_Other_diseases_of_liver	liver disease	disease
I67	cerebrovascular disorder	EFO:0003763	Exact	I67-Diagnoses_main_ICD10_I67_Other_cerebrovascular_diseases	cerebrovascular disorder	disease
K82	gallbladder disease	EFO:0003832	Exact	K82-Diagnoses_main_ICD10_K82_Other_diseases_of_gallbladder	gallbladder disease	disease
R52	pain	EFO:0003843	Exact	R52-Diagnoses_main_ICD10_R52_Pain_not_elsewhere_classified	pain	
R00	cardiac arrythmia	EFO:0004269	Exact	R00-Diagnoses_main_ICD10_R00_Abnormalities_of_heart_beat	cardiac arrhythmia	disease
M41	scoliosis	EFO:0004273	Exact	M41-Diagnoses_main_ICD10_M41_Scoliosis	scoliosis	disease
K00	tooth agenesis	EFO:0005410	Exact	K00-Diagnoses_main_ICD10_K00_Disorders_of_tooth_development_and_eruption	tooth agenesis	disease
I61	intracerebral hemorrhage	EFO:0005669	Exact	I61-Diagnoses_main_ICD10_I61_Intracerebral_haemorrhage	intracerebral hemorrhage	disease
H33	retinal detachment	EFO:0005773	Exact	H33-Diagnoses_main_ICD10_H33_Retinal_detachments_and_breaks	retinal detachment	disease
N97	female infertility	EFO:0008560	Exact	N97-Diagnoses_main_ICD10_N97_Female_infertility	female infertility	disease
G47	sleep disorder	EFO:0008568	Exact	G47-Diagnoses_main_ICD10_G47_Sleep_disorders	sleep disorder	disease
K70	alcoholic liver disease	EFO:0008573	Exact	K70-Diagnoses_main_ICD10_K70_Alcoholic_liver_disease	alcoholic liver disease	disease
K11	salivary gland disease	EFO:0008581	Exact	K11-Diagnoses_main_ICD10_K11_Diseases_of_salivary_glands	salivary gland disease	disease
J46	status asthmaticus	EFO:0008590	Exact	J46-Diagnoses_main_ICD10_J46_Status_asthmaticus	status asthmaticus	disease
N84	female genital tract polyp	EFO:0008622	Exact	N84-Diagnoses_main_ICD10_N84_Polyp_of_female_genital_tract	female genital tract polyp	disease
H43	vitreous body disease	EFO:0008624	Exact	H43-Diagnoses_main_ICD10_H43_Disorders_of_vitreous_body	vitreous body disease	disease
L92	granulomatous dermatitis	EFO:1000705	Exact	L92-Diagnoses_main_ICD10_L92_Granulomatous_disorders_of_skin_and_subcutaneous_tissue	granulomatous dermatitis	disease
O21	hyperemesis gravidarum	EFO:1000971	Exact	O21-Diagnoses_main_ICD10_O21_Excessive_vomiting_in_pregnancy	hyperemesis gravidarum	disease
E22	hyperpituitarism	EFO:1000973	Exact	E22-Diagnoses_main_ICD10_E22_Hyperfunction_of_pituitary_gland	hyperpituitarism	disease
K57	diverticulitis	EFO:1001460	Exact	K57-Diagnoses_main_ICD10_K57_Diverticular_disease_of_intestine	diverticulitis	disease
R33	Urinary retention	HP:0000016	Exact	R33-Diagnoses_main_ICD10_R33_Retention_of_urine	urinary retention	
R32	Urinary incontinence	HP:0000020	Exact	R32-Diagnoses_main_ICD10_R32_Unspecified_urinary_incontinence	urinary incontinence	
H53	Visual impairment	HP:0000505	Exact	H53-Diagnoses_main_ICD10_H53_Visual_disturbances	visual impairment	
R31	hematuria	HP:0000790	Exact	R31-Diagnoses_main_ICD10_R31_Unspecified_haematuria	hematuria	
K81	Cholecystitis	HP:0001082	Exact	K81-Diagnoses_main_ICD10_K81_Cholecystitis	cholecystitis	
G24	Dystonia	HP:0001332	Exact	G24-Diagnoses_main_ICD10_G24_Dystonia	dystonia	
R18	Ascites	HP:0001541	Exact	R18-Diagnoses_main_ICD10_R18_Ascites	ascites	
D50	Iron deficiency anemia	HP:0001891	Exact	D50-Diagnoses_main_ICD10_D50_Iron_deficiency_anaemia	iron deficiency anemia	
N17	acute kidney injury	HP:0001919	Exact	N17-Diagnoses_main_ICD10_N17_Acute_renal_failure	acute kidney injury	
H25	age-related cataract	HP:0011141	Exact	H25-Diagnoses_main_ICD10_H25_Senile_cataract	age-related cataract	
D70	Agranulocytosis	HP:0012234	Exact	D70-Diagnoses_main_ICD10_D70_Agranulocytosis	agranulocytosis	
K59	intestinal disease	EFO:0009431	Broad	K59-Diagnoses_main_ICD10_K59_Other_functional_intestinal_disorders	intestinal disease	disease
M47	spondyloarthropathy	EFO:0000706	Exact	M47-Diagnoses_main_ICD10_M47_Spondylosis	spondyloarthropathy	disease
E23	hypopituitarism, pituitary gland disease	EFO:0001380, EFO:0009607	Exact	E23-Diagnoses_main_ICD10_E23_Hypofunction_and_other_disorders_of_pituitary_gland	hypopituitarism AND pituitary gland disease	disease
H35	retinopathy	EFO:0003839	Exact	H35-Diagnoses_main_ICD10_H35_Other_retinal_disorders	retinopathy	disease
I74	venous thromboembolism	EFO:0004286	Exact	I74-Diagnoses_main_ICD10_I74_Arterial_embolism_and_thrombosis	venous thromboembolism	disease
I48	atrial fibrillation	EFO:0000275	Exact	I48-Diagnoses_main_ICD10_I48_Atrial_fibrillation_and_flutter	atrial fibrillation	disease
N41	prostatitis	EFO:0003830	Exact	N41-Diagnoses_main_ICD10_N41_Inflammatory_diseases_of_prostate	prostatitis	disease
N18	chronic kidney disease	EFO:0003884	Exact	N18-Diagnoses_main_ICD10_N18_Chronic_renal_failure	chronic kidney disease	disease
O14	preeclampsia	EFO:0000668	Broad	O14-Diagnoses_main_ICD10_O14_Gestational_pregnancyinduced_hypertension_with_significant_proteinuria	preeclampsia	disease
I25	coronary heart disease	EFO:0001645	Broad	I25-Diagnoses_main_ICD10_I25_Chronic_ischaemic_heart_disease	coronary artery disease	disease
N60	breast fibrocystic disease	EFO:0003014	Broad	N60-Diagnoses_main_ICD10_N60_Benign_mammary_dysplasia	breast fibrocystic disease	disease
F32	unipolar depression	EFO:0003761	Broad	F32-Diagnoses_main_ICD10_F32_Depressive_episode	unipolar depression	disease
F33	unipolar depression	EFO:0003761	Broad	F33-Diagnoses_main_ICD10_F33_Recurrent_depressive_disorder	unipolar depression	disease
F10	alcohol dependence	EFO:0003829	Broad	F10-Diagnoses_main_ICD10_F10_Mental_and_behavioural_disorders_due_to_use_of_alcohol	alcohol dependence	disease
M54	pain	EFO:0003843	Broad	M54-Diagnoses_main_ICD10_M54_Dorsalgia	pain	
N63	breast cyst	EFO:1000848	Broad	N63-Diagnoses_main_ICD10_N63_Unspecified_lump_in_breast	breast cyst	disease
M00	infectious arthritis	EFO:1001351	Broad	M00-Diagnoses_main_ICD10_M00_Pyogenic_arthritis	infectious arthritis	disease
I42	cardiomyopathy	EFO:0000318	Exact	I42-Diagnoses_main_ICD10_I42_Cardiomyopathy	cardiomyopathy	disease
K50	Crohn's disease	EFO:0000384	Exact	K50-Diagnoses_main_ICD10_K50_Crohns_disease_regional_enteritis	crohn's disease	disease
E14	diabetes mellitus	EFO:0000400	Exact	E14-Diagnoses_main_ICD10_E14_Unspecified_diabetes_mellitus	diabetes mellitus	disease
G40	epilepsy	EFO:0000474	Exact	G40-Diagnoses_main_ICD10_G40_Epilepsy	epilepsy	disease
H40	glaucoma	EFO:0000516	Exact	H40-Diagnoses_main_ICD10_H40_Glaucoma	glaucoma	disease
K58	irritable bowel syndrome	EFO:0000555	Exact	K58-Diagnoses_main_ICD10_K58_Irritable_bowel_syndrome	irritable bowel syndrome	disease
F20	schizophrenia	EFO:0000692	Exact	F20-Diagnoses_main_ICD10_F20_Schizophrenia	schizophrenia	disease
K51	ulcerative colitis	EFO:0000729	Exact	K51-Diagnoses_main_ICD10_K51_Ulcerative_colitis	ulcerative colitis	disease
B34	viral disease	EFO:0000763	Exact	B34-Diagnoses_main_ICD10_B34_Viral_infection_of_unspecified_site	viral disease	disease
M60	myositis	EFO:0000783	Exact	M60-Diagnoses_main_ICD10_M60_Myositis	myositis	disease
H26	cataract	EFO:0001059	Exact	H26-Diagnoses_main_ICD10_H26_Other_cataract	cataract	disease
N80	endometriosis	EFO:0001065	Exact	N80-Diagnoses_main_ICD10_N80_Endometriosis	endometriosis	disease
E66	obesity	EFO:0001073	Exact	E66-Diagnoses_main_ICD10_E66_Obesity	obesity	disease
E10	type I diabetes mellitus	EFO:0001359	Exact	E10-Diagnoses_main_ICD10_E10_Insulindependent_diabetes_mellitus	type i diabetes mellitus	disease
E11	type II diabetes mellitus	EFO:0001360	Exact	E11-Diagnoses_main_ICD10_E11_Noninsulindependent_diabetes_mellitus	type ii diabetes mellitus	disease
G20	Parkinson's disease	EFO:0002508	Exact	G20-Diagnoses_main_ICD10_G20_Parkinsons_disease	parkinson's disease	disease
L03	cellulitis	EFO:0003035	Exact	L03-Diagnoses_main_ICD10_L03_Cellulitis	cellulitis	disease
M86	osteomyelitis	EFO:0003102	Exact	M86-Diagnoses_main_ICD10_M86_Osteomyelitis	osteomyelitis	disease
I50	heart failure	EFO:0003144	Exact	I50-Diagnoses_main_ICD10_I50_Heart_failure	heart failure	disease
K02	dental caries	EFO:0003819	Exact	K02-Diagnoses_main_ICD10_K02_Dental_caries	dental caries	disease
G43	migraine disorder	EFO:0003821	Exact	G43-Diagnoses_main_ICD10_G43_Migraine	migraine disorder	disease
I26	pulmonary embolism	EFO:0003827	Exact	I26-Diagnoses_main_ICD10_I26_Pulmonary_embolism	pulmonary embolism	disease
I73	peripheral vascular disease	EFO:0003875	Exact	I73-Diagnoses_main_ICD10_I73_Other_peripheral_vascular_diseases	peripheral vascular disease	disease
G35	multiple sclerosis	EFO:0003885	Exact	G35-Diagnoses_main_ICD10_G35_Multiple_sclerosis	multiple sclerosis	disease
M45	ankylosing spondylitis	EFO:0003898	Exact	M45-Diagnoses_main_ICD10_M45_Ankylosing_spondylitis	ankylosing spondylitis	disease
I20	angina pectoris	EFO:0003913	Exact	I20-Diagnoses_main_ICD10_I20_Angina_pectoris	angina pectoris	
I70	atherosclerosis	EFO:0003914	Exact	I70-Diagnoses_main_ICD10_I70_Atherosclerosis	atherosclerosis	disease
K21	gastroesophageal reflux disease	EFO:0003948	Exact	K21-Diagnoses_main_ICD10_K21_Gastrooesophageal_reflux_disease	gastroesophageal reflux disease	disease
H80	otosclerosis	EFO:0004213	Exact	H80-Diagnoses_main_ICD10_H80_Otosclerosis	otosclerosis	disease
N20	nephrolithiasis	EFO:0004253	Exact	N20-Diagnoses_main_ICD10_N20_Calculus_of_kidney_and_ureter	nephrolithiasis	disease
M87	osteonecrosis	EFO:0004259	Exact	M87-Diagnoses_main_ICD10_M87_Osteonecrosis	osteonecrosis	disease
D64	anemia	EFO:0004272	Exact	D64-Diagnoses_main_ICD10_D64_Other_anaemias	anemia (phenotype)	
M10	gout	EFO:0004274	Exact	M10-Diagnoses_main_ICD10_M10_Gout	gout	disease
K26	duodenal ulcer	EFO:0004607	Exact	K26-Diagnoses_main_ICD10_K26_Duodenal_ulcer	duodenal ulcer	disease
K80	cholelithiasis	EFO:0004799	Exact	K80-Diagnoses_main_ICD10_K80_Cholelithiasis	cholelithiasis	disease
I95	hypotension	EFO:0005251	Exact	I95-Diagnoses_main_ICD10_I95_Hypotension	hypotension	disease
L50	urticaria	EFO:0005531	Exact	L50-Diagnoses_main_ICD10_L50_Urticaria	urticaria	disease
L82	seborrheic keratosis	EFO:0005584	Exact	L82-Diagnoses_main_ICD10_L82_Seborrhoeic_keratosis	seborrheic keratosis	disease
B02	Herpes Zoster	EFO:0006510	Exact	B02-Diagnoses_main_ICD10_B02_Zoster_herpes_zoster	herpes zoster	disease
K37	appendicitis	EFO:0007149	Exact	K37-Diagnoses_main_ICD10_K37_Unspecified_appendicitis	appendicitis	disease
O44	placenta praevia	EFO:0007442	Exact	O44-Diagnoses_main_ICD10_O44_Placenta_praevia	placenta praevia	disease
H66	suppurative otitis media	EFO:0007503	Exact	H66-Diagnoses_main_ICD10_H66_Suppurative_and_unspecified_otitis_media	suppurative otitis media	disease
S72	femur fracture	EFO:0008553	Exact	S72-Diagnoses_main_ICD10_S72_Fracture_of_femur	femur fracture	disease
K44	diaphragmatic hernia	EFO:0008561	Exact	K44-Diagnoses_main_ICD10_K44_Diaphragmatic_hernia	diaphragmatic hernia	
I21	acute myocardial infarction	EFO:0008583	Exact	I21-Diagnoses_main_ICD10_I21_Acute_myocardial_infarction	acute myocardial infarction	disease
I22	Subsequent ST elevation (STEMI) and non-ST elevation (NSTEMI) myocardian infarction	EFO:0008584	Exact	I22-Diagnoses_main_ICD10_I22_Subsequent_myocardial_infarction	subsequent st elevation (stemi) and non-st elevation (nstemi) myocardial infarction	disease
K65	peritonitis	EFO:0008588	Exact	K65-Diagnoses_main_ICD10_K65_Peritonitis	peritonitis	disease
K63	intestinal disease	EFO:0009431	Exact	K63-Diagnoses_main_ICD10_K63_Other_diseases_of_intestine	intestinal disease	disease
M72	fibroblastic disorder	EFO:0009432	Exact	M72-Diagnoses_main_ICD10_M72_Fibroblastic_disorders	fibroblastic disorder	disease
J22	lower respiratory tract disease	EFO:0009433	Exact	J22-Diagnoses_main_ICD10_J22_Unspecified_acute_lower_respiratory_infection	lower respiratory tract disease	disease
N30	cystitis	EFO:1000025	Exact	N30-Diagnoses_main_ICD10_N30_Cystitis	cystitis	disease
K85	acute pancreatitis	EFO:1000652	Exact	K85-Diagnoses_main_ICD10_K85_Acute_pancreatitis	acute pancreatitis	disease
H71	cholesteatoma of middle ear	EFO:1000678	Exact	H71-Diagnoses_main_ICD10_H71_Cholesteatoma_of_middle_ear	cholesteatoma of middle ear	disease
R61	hypohidrosis	EFO:1000712	Exact	R61-Diagnoses_main_ICD10_R61_Hyperhidrosis	hypohidrosis	disease
L43	lichen planus	EFO:1000726	Exact	L43-Diagnoses_main_ICD10_L43_Lichen_planus	lichen planus	disease
L71	rosacea	EFO:1000760	Exact	L71-Diagnoses_main_ICD10_L71_Rosacea	rosacea	disease
L90	skin atrophy	EFO:1000766	Exact	L90-Diagnoses_main_ICD10_L90_Atrophic_disorders_of_skin	skin atrophy	disease
M16	osteoarthritis, hip	EFO:1000786	Exact	M16-Diagnoses_main_ICD10_M16_Coxarthrosis_arthrosis_of_hip	osteoarthritis, hip	disease
N87	dysplasia of cervix	EFO:1000910	Exact	N87-Diagnoses_main_ICD10_N87_Dysplasia_of_cervix_uteri	dysplasia of cervix	disease
A87	viral meningitis	EFO:1001236	Exact	A87-Diagnoses_main_ICD10_A87_Viral_meningitis	viral meningitis	disease
O03	spontaneous abortion	EFO:1001255	Exact	O03-Diagnoses_main_ICD10_O03_Spontaneous_abortion	spontaneous abortion	disease
I80	phlebitis || Thrombophlebitis	EFO:1001395, HP:0004418	Exact	I80-Diagnoses_main_ICD10_I80_Phlebitis_and_thrombophlebitis	phlebitis AND thrombophlebitis	disease
N23	renal colic	EFO:1001412	Exact	N23-Diagnoses_main_ICD10_N23_Unspecified_renal_colic	renal colic	
M65	tenosynovitis	EFO:1001435	Exact	M65-Diagnoses_main_ICD10_M65_Synovitis_and_tenosynovitis	tenosynovitis	disease
K41	femoral hernia	EFO:1001791	Exact	K41-Diagnoses_main_ICD10_K41_Femoral_hernia	femoral hernia	disease
K43	ventral hernia	EFO:1001866	Exact	K43-Diagnoses_main_ICD10_K43_Ventral_hernia	ventral hernia	
R35	polyuria	HP:0000103	Exact	R35-Diagnoses_main_ICD10_R35_Polyuria	polyuria	
L29	prutitus	HP:0000989	Exact	L29-Diagnoses_main_ICD10_L29_Pruritus	pruritus	
R11	nausea and vomiting	HP:0002017	Exact	R11-Diagnoses_main_ICD10_R11_Nausea_and_vomiting	nausea and vomiting	
K20	esophagitis	HP:0100633	Exact	K20-Diagnoses_main_ICD10_K20_Oesophagitis	esophagitis	disease
D86	sarcoidosis	Orphanet:797	Exact	D86-Diagnoses_main_ICD10_D86_Sarcoidosis	sarcoidosis	disease
H16	keratitis	EFO:0009449	Exact	H16-Diagnoses_main_ICD10_H16_Keratitis	keratitis	disease
G81	hemiplagia	EFO:0009453	Exact	G81-Diagnoses_main_ICD10_G81_Hemiplegia	hemiplegia	disease
K25	gastric ulcer	EFO:0009454	Exact	K25-Diagnoses_main_ICD10_K25_Gastric_ulcer	gastric ulcer	disease
H04	lacrimal apparatus disease	EFO:0009455	Exact	H04-Diagnoses_main_ICD10_H04_Disorders_of_lachrymal_system	lacrimal apparatus disease	disease
G51	facial nerve disease	EFO:1002051	Exact	G51-Diagnoses_main_ICD10_G51_Facial_nerve_disorders	facial nerve disease	disease
I10	primary hypertension	EFO:1002032	Exact	I10-Diagnoses_main_ICD10_I10_Essential_primary_hypertension	primary hypertension	disease
R87	Abnormality of female internal genitalia	HP:0000008	Broad	R87-Diagnoses_main_ICD10_R87_Abnormal_findings_in_specimens_from_female_genital_organs	abnormal morphology of female internal genitalia	
R86	Abnormality of male internal genitalia	HP:0000022	Broad	R86-Diagnoses_main_ICD10_R86_Abnormal_findings_in_specimens_from_male_genital_organs	abnormality of male internal genitalia	
R17	jaundice	HP:0000952	Exact	R17-Diagnoses_main_ICD10_R17_Unspecified_jaundice	jaundice	
R26	gait disturbance	HP:0001288	Broad	R26-Diagnoses_main_ICD10_R26_Abnormalities_of_gait_and_mobility	gait disturbance	
K42	umbilical hernia	HP:0001537	Exact	K42-Diagnoses_main_ICD10_K42_Umbilical_hernia	umbilical hernia	
I46	cardiac arrest	EFO:0009492	Exact	I46-Diagnoses_main_ICD10_I46_Cardiac_arrest	cardiac arrest	disease
Q66	Abnormality of the foot	HP:0001760	Broad	Q66-Diagnoses_main_ICD10_Q66_Congenital_deformities_of_feet	abnormal foot morphology	
O62	Abnormal delivery	HP:0001787	Broad	O62-Diagnoses_main_ICD10_O62_Abnormalities_of_forces_of_labour	abnormal delivery	
R59	lymphadenopathy	HP:0002716	Exact	R59-Diagnoses_main_ICD10_R59_Enlarged_lymph_nodes	lymphadenopathy	
Q21	Abnormal cardiac septum morphology	HP:0001671	Exact	Q21-Diagnoses_main_ICD10_Q21_Congenital_malformations_of_cardiac_septa	abnormal cardiac septum morphology	
K61	Rectal abscess	HP:0005224	Broad	K61-Diagnoses_main_ICD10_K61_Abscess_of_anal_and_rectal_regions	rectal abscess	
R06	Breathing dysregulation	HP:0005957	Broad	R06-Diagnoses_main_ICD10_R06_Abnormalities_of_breathing	breathing dysregulation	
I47	paroxysmal tachycardia	EFO:0009493	Exact	I47-Diagnoses_main_ICD10_I47_Paroxysmal_tachycardia	paroxysmal tachycardia	disease
N62	breast hypertrophy	HP:0010313	Exact	N62-Diagnoses_main_ICD10_N62_Hypertrophy_of_breast	breast hypertrophy	
L05	Pilonidal asbcess	HP:0010771	Broad	L05-Diagnoses_main_ICD10_L05_Pilonidal_cyst	pilonidal abscess	
N72	cervicitis	HP:0030160	Broad	N72-Diagnoses_main_ICD10_N72_Inflammatory_disease_of_cervix_uteri	cervicitis	
L02	Cutaneous abscess	HP:0031292	Broad	L02-Diagnoses_main_ICD10_L02_Cutaneous_abscess_furuncle_and_carbuncle	cutaneous abscess	
R25	abnormality of movement	HP:0100022	Broad	R25-Diagnoses_main_ICD10_R25_Abnormal_involuntary_movements	abnormality of movement	
M23	knee injury	EFO:0009507	Broad	M23-Diagnoses_main_ICD10_M23_Internal_derangement_of_knee	knee injury	disease
N82	female genital tract fistula	EFO:0009524	Exact	N82-Diagnoses_main_ICD10_N82_Fistulae_involving_female_genital_tract	female genital tract fistula	disease
O72	postpartum hemorrhage	EFO:0009579	Exact	O72-Diagnoses_main_ICD10_O72_Postpartum_haemorrhage	postpartum hemorrhage	disease
R15	fecal incontinence	EFO:0009523	Exact	R15-Diagnoses_main_ICD10_R15_Faecal_incontinence	fecal incontinence	disease
R20	disturbance of skin sensation	EFO:0009522	Exact	R20-Diagnoses_main_ICD10_R20_Disturbances_of_skin_sensation	disturbance of skin sensation	disease
R94		EFO:0009628	Exact	R94-Diagnoses_main_ICD10_R94_Abnormal_results_of_function_studies	abnormal result of function studies	
S00	head injury	EFO:0009505	Broad	S00-Diagnoses_main_ICD10_S00_Superficial_injury_of_head	head injury	disease
S30	abdominal injury	EFO:0009502	Narrow	S30-Diagnoses_main_ICD10_S30_Superficial_injury_of_abdomen_lower_back_and_pelvis	abdominal injury	disease
S62	wrist fracture	EFO:0009515	Narrow	S62-Diagnoses_main_ICD10_S62_Fracture_at_wrist_and_hand_level	wrist fracture	disease
T18	foreign body in gastrointestinal tract	EFO:0009526	Exact	T18-Diagnoses_main_ICD10_T18_Foreign_body_in_alimentary_tract	foreign body in gastrointestinal tract	
T82	device complication	EFO:0009519	Broad	T82-Diagnoses_main_ICD10_T82_Complications_of_cardiac_and_vascular_prosthetic_devices_implants_and_grafts	device complication	disease
T83	device complication	EFO:0009519	Broad	T83-Diagnoses_main_ICD10_T83_Complications_of_genitourinary_prosthetic_devices_implants_and_grafts	device complication	disease
T84	device complication	EFO:0009519	Broad	T84-Diagnoses_main_ICD10_T84_Complications_of_internal_orthopaedic_prosthetic_devices_implants_and_grafts	device complication	disease
T85	device complication	EFO:0009519	Broad	T85-Diagnoses_main_ICD10_T85_Complications_of_other_internal_prosthetic_devices_implants_and_grafts	device complication	disease
Z30	contraception	EFO:0009520	Exact	Z30-Diagnoses_main_ICD10_Z30_Contraceptive_management	contraception	
Z35	high-risk pregnancy	EFO:0009573	Narrow	Z35-Diagnoses_main_ICD10_Z35_Supervision_of_highrisk_pregnancy	high-risk pregnancy	disease
Z40	prophylactic surgery	EFO:0009580	Exact	Z40-Diagnoses_main_ICD10_Z40_Prophylactic_surgery	prophylactic surgery	
Z47	orthopedic nursing	EFO:0009577	Broad	Z47-Diagnoses_main_ICD10_Z47_Other_orthopaedic_followup_care	orthopedic nursing	
Z50	rehabilitation	EFO:0009581	Exact	Z50-Diagnoses_main_ICD10_Z50_Care_involving_use_of_rehabilitation_procedures	rehabilitation	
E83	mineral metabolism disease	EFO:0009556	Exact	E83-Diagnoses_main_ICD10_E83_Disorders_of_mineral_metabolism	mineral metabolism disease	disease
H18	corneal disease	EFO:0009464	Exact	H18-Diagnoses_main_ICD10_H18_Other_disorders_of_cornea	corneal disease	disease
N19	kidney failure	EFO:1002048	Exact	N19-Diagnoses_main_ICD10_N19_Unspecified_renal_failure	kidney failure	disease
I85	esophageal varices	EFO:0009545	Exact	I85-Diagnoses_main_ICD10_I85_Oesophageal_varices	esophageal varices	disease
G56	mononeuropathy	EFO:0009558	Broad	G56-Diagnoses_main_ICD10_G56_Mononeuropathies_of_upper_limb	mononeuropathy	disease
G57	mononeuropathy	EFO:0009558	Broad	G57-Diagnoses_main_ICD10_G57_Mononeuropathies_of_lower_limb	mononeuropathy	disease
N71	uterine inflammatory disease	EFO:0009572	Exact	N71-Diagnoses_main_ICD10_N71_Inflammatory_disease_of_uterus_except_cervix	uterine inflammatory disease	disease
N83	fallopian tube disease	EFO:0009548	Broad	N83-Diagnoses_main_ICD10_N83_Noninflammatory_disorders_of_ovary_Fallopian_tube_and_broad_ligament	fallopian tube disease	disease
N94	female reproductive system disease	EFO:0009549	Broad	N94-Diagnoses_main_ICD10_N94_Pain_and_other_conditions_associated_with_female_genital_organs_and_menstrual_cycle	female reproductive system disease	disease
I08	heart valve disease	EFO:0009551	Broad	I08-Diagnoses_main_ICD10_I08_Multiple_valve_diseases	heart valve disease	disease
N13	urinary tract obstruction	EFO:0009571	Broad	N13-Diagnoses_main_ICD10_N13_Obstructive_and_reflux_uropathy	urinary tract obstruction	disease
